workerid	rt	trial_type	stim_type	stim_part	stim_determiner	trialNum	stim_color	stim_prevalence	response	stim_category
12	3743	truth_conditions	bare	fur	generic	23	silver	70	True	morseths
12	2606	truth_conditions	distinct	spots	generic	24	red	90	True	sapers
12	2797	truth_conditions	bare	spots	generic	25	copper	30	False	glippets
12	4428	truth_conditions	distinct	legs	generic	26	silver	70	True	ackles
12	3542	truth_conditions	distinct	shells	generic	27	orange	50	True	luzaks
12	3938	truth_conditions	distinct	scales	generic	28	blue	10	False	reesles
12	3788	truth_conditions	bare	shells	generic	29	green	50	True	moxes
13	8405	truth_conditions	bare	feathers	generic	0	purple	70	True	lorches
13	7361	truth_conditions	irrelevant	feathers	generic	1	red	90	True	noobs
13	7510	truth_conditions	distinct	tails	generic	2	purple	10	False	taifels
13	8545	truth_conditions	distinct	shells	generic	3	orange	10	False	luzaks
13	4570	truth_conditions	distinct	ears	generic	4	pink	30	False	elleps
13	5064	truth_conditions	distinct	fur	generic	5	yellow	90	True	ollers
13	9880	truth_conditions	irrelevant	legs	generic	6	pink	10	False	feps
13	3979	truth_conditions	bare	fur	generic	7	silver	70	True	morseths
13	4703	truth_conditions	irrelevant	teeth	generic	8	blue	50	True	thups
13	6557	truth_conditions	bare	stripes	generic	9	gold	30	False	daiths
13	5876	truth_conditions	distinct	teeth	generic	10	green	70	True	zoovs
13	7151	truth_conditions	irrelevant	scales	generic	11	yellow	50	True	dorbs
13	8537	truth_conditions	irrelevant	spots	generic	12	gold	70	True	stups
13	7830	truth_conditions	distinct	legs	generic	13	silver	30	False	ackles
13	4989	truth_conditions	distinct	scales	generic	14	blue	50	True	reesles
13	4718	truth_conditions	distinct	spots	generic	15	red	90	True	sapers
13	6547	truth_conditions	irrelevant	tails	generic	16	green	10	False	trufts
13	3211	truth_conditions	bare	scales	generic	17	red	90	True	blins
13	3384	truth_conditions	bare	legs	generic	18	yellow	10	False	ludinos
13	5338	truth_conditions	bare	ears	generic	19	blue	10	False	cheebas
13	4507	truth_conditions	bare	shells	generic	20	green	50	True	moxes
13	3294	truth_conditions	bare	teeth	generic	21	pink	50	True	krivels
13	4966	truth_conditions	bare	tails	generic	22	orange	90	True	zorbs
13	6869	truth_conditions	irrelevant	shells	generic	23	purple	90	True	javs
13	4445	truth_conditions	irrelevant	ears	generic	24	orange	30	False	kazzes
13	8400	truth_conditions	distinct	stripes	generic	25	copper	70	True	mooks
13	6274	truth_conditions	irrelevant	fur	generic	26	copper	30	False	kweps
13	5434	truth_conditions	distinct	feathers	generic	27	gold	50	True	plovs
13	4361	truth_conditions	irrelevant	stripes	generic	28	silver	70	True	frams
13	5621	truth_conditions	bare	spots	generic	29	copper	30	False	glippets
14	13359	truth_conditions	irrelevant	stripes	generic	0	silver	50	True	frams
14	10538	truth_conditions	distinct	feathers	generic	1	gold	70	True	plovs
14	13433	truth_conditions	irrelevant	shells	generic	2	purple	70	True	javs
14	8218	truth_conditions	bare	teeth	generic	3	pink	50	False	krivels
14	9708	truth_conditions	distinct	tails	generic	4	purple	10	False	taifels
14	3421	truth_conditions	bare	shells	generic	5	green	70	True	moxes
14	4565	truth_conditions	bare	fur	generic	6	silver	90	True	morseths
14	5837	truth_conditions	bare	stripes	generic	7	gold	30	False	daiths
14	6504	truth_conditions	irrelevant	legs	generic	8	pink	30	False	feps
14	7657	truth_conditions	distinct	spots	generic	9	red	10	False	sapers
14	10789	truth_conditions	irrelevant	tails	generic	10	green	30	True	trufts
14	4146	truth_conditions	distinct	ears	generic	11	pink	70	True	elleps
14	4678	truth_conditions	bare	tails	generic	12	orange	30	True	zorbs
14	4101	truth_conditions	irrelevant	teeth	generic	13	blue	90	True	thups
14	4504	truth_conditions	distinct	scales	generic	14	blue	30	True	reesles
14	6030	truth_conditions	distinct	fur	generic	15	yellow	50	True	ollers
14	3069	truth_conditions	bare	feathers	generic	16	purple	10	False	lorches
14	5625	truth_conditions	irrelevant	ears	generic	17	orange	70	True	kazzes
14	3891	truth_conditions	irrelevant	spots	generic	18	gold	10	False	stups
14	8013	truth_conditions	distinct	shells	generic	19	orange	50	True	luzaks
14	4006	truth_conditions	bare	scales	generic	20	red	90	True	blins
14	2772	truth_conditions	bare	ears	generic	21	blue	10	False	cheebas
14	3568	truth_conditions	distinct	stripes	generic	22	copper	90	True	mooks
