workerid,bin_00,trial_type,binOrder,bin_30,bin_20,bin_90,color,bin_70,bin_60,trialNum,bin_10,bin_50,bin_40,context,bin_80,part,rt,category
8,0,binnedHistogram,lo2hi,0.54,0,0,purple,0,0,9,0,0,NA,bare,0,feathers,22671,lorches
8,0,binnedHistogram,lo2hi,0,0,0,yellow,0,0,10,0,0,0.59,bare,0,scales,28266,dorbs
8,0,binnedHistogram,lo2hi,0,0,0,purple,0,0,11,0.62,0,0,danger-distinct,0,shells,30214,javs
9,0.73,binnedHistogram,lo2hi,0.3,0.46,0,yellow,0,0,0,0.62,0.04,0.14,nondistinctive,0,legs,53124,ludinos
9,0.24,binnedHistogram,lo2hi,0,0,0,pink,0,0,1,0.14,0,0,danger-distinct,0,ears,33519,elleps
9,0.38,binnedHistogram,lo2hi,0.12,0.18,0,orange,0,0,2,0.26,0.03,0.07,danger-distinct,0,tails,44175,zorbs
9,0.66,binnedHistogram,lo2hi,0.32,0.41,0.05,copper,0.12,0.17,3,0.52,0.22,0.27,nondistinctive,0.07,stripes,39751,mooks
9,0.81,binnedHistogram,lo2hi,0.59,0.63,0.25,gold,0.37,0.42,4,0.71,0.49,0.53,nondistinctive,0.32,spots,41008,stups
9,0.89,binnedHistogram,lo2hi,0.76,0.79,0,red,0.32,0.39,5,0.81,0.5,0.74,bare,0.16,feathers,39473,noobs
9,1,binnedHistogram,lo2hi,0.75,0.8,0.46,orange,0.57,0.63,6,0.86,0.65,0.7,bare,0.5,ears,34816,kazzes
9,0.15,binnedHistogram,lo2hi,0.06,0.07,0,blue,0,0,7,0.08,0,0.02,bare,0,ears,20416,cheebas
9,0.66,binnedHistogram,lo2hi,0.46,0.52,0.2,purple,0.29,0.33,8,0.58,0.36,0.4,bare,0.23,tails,21687,taifels
9,0.12,binnedHistogram,lo2hi,0.04,0.05,0,red,0,0,9,0.08,0,0,nondistinctive,0,scales,21817,blins
9,0.32,binnedHistogram,lo2hi,0.1,0.2,0,gold,0,0,10,0.26,0,0.02,danger-distinct,0,feathers,19000,plovs
9,0.19,binnedHistogram,lo2hi,0.07,0.09,0,yellow,0,0,11,0.13,0,0,danger-distinct,0,fur,34848,ollers
10,0.03,binnedHistogram,lo2hi,1,0.74,0,gold,0.21,0.25,0,0.12,0.41,0.84,nondistinctive,0.12,stripes,80645,daiths
10,0.1,binnedHistogram,lo2hi,0.45,0.45,0.09,copper,0.2,0.19,1,0.15,0.24,0.26,danger-distinct,0.13,fur,93475,kweps
10,0.12,binnedHistogram,lo2hi,0.31,0.28,0.1,orange,0.16,0.2,2,0.16,0.21,0.27,danger-distinct,0.15,shells,29232,luzaks
10,0.1,binnedHistogram,lo2hi,0.31,0.24,0.07,silver,0.18,0.23,3,0.14,0.25,0.28,danger-distinct,0.09,stripes,25575,frams
10,0.12,binnedHistogram,lo2hi,0.41,0.36,0.11,gold,0.25,0.31,4,0.31,0.33,0.36,bare,0.18,spots,21744,stups
10,0.13,binnedHistogram,lo2hi,0.17,0.2,0.1,green,0.1,0.12,5,0.25,0.12,0.15,bare,0.09,shells,37295,moxes
10,0.17,binnedHistogram,lo2hi,0.25,0.3,0.05,blue,0.14,0.14,6,0.31,0.18,0.22,bare,0.12,ears,19546,cheebas
10,0.1,binnedHistogram,lo2hi,0.39,0.39,0.09,orange,0.25,0.32,7,0.29,0.37,0.38,nondistinctive,0.24,tails,29089,zorbs
10,0.23,binnedHistogram,lo2hi,0.63,0.55,0.21,purple,0.42,0.49,8,0.42,0.56,0.58,nondistinctive,0.35,tails,22005,taifels
10,0.14,binnedHistogram,lo2hi,0.23,0.26,0.09,purple,0.15,0.21,9,0.27,0.2,0.2,danger-distinct,0.14,feathers,20774,lorches
10,0.15,binnedHistogram,lo2hi,0.23,0.19,0.16,silver,0.15,0.17,10,0.14,0.19,0.19,bare,0.14,fur,20115,morseths
10,0.11,binnedHistogram,lo2hi,0.32,0.33,0.25,yellow,0.26,0.27,11,0.31,0.29,0.31,nondistinctive,0.26,fur,19840,ollers
11,0.15,binnedHistogram,lo2hi,0.03,0.05,0.02,purple,0.02,0.01,0,0.02,0.02,0.02,bare,0.03,shells,18955,javs
11,0.84,binnedHistogram,lo2hi,0,0.32,0,gold,0,0,1,0.67,0,0,bare,0,stripes,15374,daiths
11,1,binnedHistogram,lo2hi,1,1,1,copper,1,1,2,1,1,1,nondistinctive,1,fur,13467,kweps
11,1,binnedHistogram,lo2hi,0.99,1,0.96,green,0.99,0.97,3,1,0.97,0.96,danger-distinct,0.97,teeth,15139,zoovs
11,1,binnedHistogram,lo2hi,0.98,0.96,0.97,orange,0.97,0.97,4,0.98,0.98,0.98,danger-distinct,0.97,tails,9103,zorbs
11,0.52,binnedHistogram,lo2hi,0.27,0.39,0,yellow,0,0,5,0.46,0,0,nondistinctive,0,fur,11073,ollers
11,0.96,binnedHistogram,lo2hi,0.97,0.98,0.95,blue,0.96,0.96,6,0.97,0.96,0.97,nondistinctive,0.96,teeth,9732,thups
11,0.97,binnedHistogram,lo2hi,0.98,0.98,0.98,yellow,0.97,0.97,7,0.98,0.98,0.97,bare,1,legs,7975,ludinos
11,1,binnedHistogram,lo2hi,1,1,1,copper,1,1,8,1,1,1,danger-distinct,1,stripes,13054,mooks
11,0.69,binnedHistogram,lo2hi,0.5,0.59,0,yellow,0,0.22,9,0.65,0.32,0.43,bare,0,scales,12377,dorbs
11,1,binnedHistogram,lo2hi,1,1,1,green,1,1,10,1,1,1,danger-distinct,1,tails,10679,trufts
11,0.64,binnedHistogram,lo2hi,0.47,0.58,0,blue,0,0,11,0.6,0.22,0.37,nondistinctive,0,scales,10706,reesles
12,0.86,binnedHistogram,lo2hi,0.72,0.78,0.21,pink,0.31,0.34,0,0.81,0.42,0.57,bare,0.25,teeth,28151,krivels
12,0.79,binnedHistogram,lo2hi,0.54,0.61,0.05,copper,0.21,0.33,1,0.69,0.43,0.46,bare,0.17,fur,15315,kweps
12,0.52,binnedHistogram,lo2hi,0.5,0.52,0.42,orange,0.48,0.5,2,0.5,0.48,0.5,nondistinctive,0.46,shells,21366,luzaks
12,0.47,binnedHistogram,lo2hi,0.54,0.52,0.56,red,0.54,0.56,3,0.52,0.52,0.5,nondistinctive,0.56,spots,19723,sapers
12,0.3,binnedHistogram,lo2hi,0.29,0.29,0.33,yellow,0.33,0.33,4,0.29,0.34,0.31,bare,0.34,scales,12951,dorbs
12,0.14,binnedHistogram,lo2hi,0.13,0.17,0.16,gold,0.12,0.11,5,0.15,0.12,0.12,danger-distinct,0.14,stripes,20477,daiths
12,0.6,binnedHistogram,lo2hi,0.64,0.66,0.62,gold,0.65,0.65,6,0.63,0.63,0.63,nondistinctive,0.64,feathers,285635,plovs
12,0.63,binnedHistogram,lo2hi,0.62,0.64,0.65,blue,0.62,0.64,7,0.65,0.62,0.64,nondistinctive,0.61,ears,22696,cheebas
12,0.15,binnedHistogram,lo2hi,0.12,0.13,0.14,purple,0.14,0.12,8,0.12,0.13,0.13,danger-distinct,0.15,tails,26172,taifels
12,0.1,binnedHistogram,lo2hi,0.09,0.12,0.15,pink,0.13,0.12,9,0.1,0.15,0.11,danger-distinct,0.12,legs,19801,feps
12,0.21,binnedHistogram,lo2hi,0.21,0.21,0.2,gold,0.23,0.21,10,0.21,0.2,0.23,bare,0.22,spots,25545,stups
