workerid,rt,trial_type,prevalence,animal,property,property_index,animal_index
6,36.038,priors,55,Dogs,is male,1,5
6,36.038,priors,52,Cats,is male,1,6
6,36.038,priors,70,Frogs,is male,1,7
6,36.038,priors,52,Monkey,is male,1,8
6,36.038,priors,60,Horses,is male,1,9
6,23.54,priors,0,Lions,attack swimmers,2,0
6,23.54,priors,1,Ducks,attack swimmers,2,1
6,23.54,priors,10,Mosquitos,attack swimmers,2,2
6,23.54,priors,1,Birds,attack swimmers,2,3
6,23.54,priors,1,Sharks,attack swimmers,2,4
6,23.54,priors,0,Dogs,attack swimmers,2,5
6,23.54,priors,0,Cats,attack swimmers,2,6
6,23.54,priors,1,Frogs,attack swimmers,2,7
6,23.54,priors,0,Monkey,attack swimmers,2,8
6,23.54,priors,0,Horses,attack swimmers,2,9
6,6.311,priors,0,Lions,has manes,3,0
6,6.311,priors,0,Ducks,has manes,3,1
6,6.311,priors,0,Mosquitos,has manes,3,2
6,6.311,priors,0,Birds,has manes,3,3
6,6.311,priors,0,Sharks,has manes,3,4
6,6.311,priors,0,Dogs,has manes,3,5
6,6.311,priors,0,Cats,has manes,3,6
6,6.311,priors,0,Frogs,has manes,3,7
6,6.311,priors,0,Monkey,has manes,3,8
6,6.311,priors,0,Horses,has manes,3,9
6,16.135,priors,20,Lions,has spots,4,0
6,16.135,priors,30,Ducks,has spots,4,1
6,16.135,priors,43,Mosquitos,has spots,4,2
6,16.135,priors,23,Birds,has spots,4,3
6,16.135,priors,45,Sharks,has spots,4,4
6,16.135,priors,32,Dogs,has spots,4,5
6,16.135,priors,30,Cats,has spots,4,6
6,16.135,priors,27,Frogs,has spots,4,7
6,16.135,priors,29,Monkey,has spots,4,8
6,16.135,priors,30,Horses,has spots,4,9
6,9.735,priors,1,Lions,carries malaria,5,0
6,9.735,priors,1,Ducks,carries malaria,5,1
6,9.735,priors,1,Mosquitos,carries malaria,5,2
6,9.735,priors,1,Birds,carries malaria,5,3
6,9.735,priors,1,Sharks,carries malaria,5,4
6,9.735,priors,1,Dogs,carries malaria,5,5
6,9.735,priors,1,Cats,carries malaria,5,6
6,9.735,priors,1,Frogs,carries malaria,5,7
6,9.735,priors,1,Monkey,carries malaria,5,8
6,9.735,priors,1,Horses,carries malaria,5,9
6,30.514,priors,60,Lions,is female,6,0
6,30.514,priors,50,Ducks,is female,6,1
6,30.514,priors,51,Mosquitos,is female,6,2
6,30.514,priors,55,Birds,is female,6,3
6,30.514,priors,46,Sharks,is female,6,4
6,30.514,priors,45,Dogs,is female,6,5
6,30.514,priors,48,Cats,is female,6,6
6,30.514,priors,39,Frogs,is female,6,7
6,30.514,priors,48,Monkey,is female,6,8
6,30.514,priors,40,Horses,is female,6,9
6,13.508,priors,0,Lions,lays eggs,7,0
6,13.508,priors,100,Ducks,lays eggs,7,1
6,13.508,priors,100,Mosquitos,lays eggs,7,2
6,13.508,priors,100,Birds,lays eggs,7,3
6,13.508,priors,0,Sharks,lays eggs,7,4
6,13.508,priors,0,Dogs,lays eggs,7,5
6,13.508,priors,0,Cats,lays eggs,7,6
6,13.508,priors,100,Frogs,lays eggs,7,7
6,13.508,priors,0,Monkey,lays eggs,7,8
6,13.508,priors,0,Horses,lays eggs,7,9
7,18.592,priors,0,Birds,carries malaria,0,0
7,18.592,priors,0,Lions,carries malaria,0,1
7,18.592,priors,3,Mosquitos,carries malaria,0,2
7,18.592,priors,0,Leopards,carries malaria,0,3
7,18.592,priors,0,Ducks,carries malaria,0,4
7,18.592,priors,0,Rodents,carries malaria,0,5
7,18.592,priors,0,Cats,carries malaria,0,6
7,18.592,priors,0,Dogs,carries malaria,0,7
7,18.592,priors,0,Fish,carries malaria,0,8
7,18.592,priors,0,Squirrels,carries malaria,0,9
7,20.062,priors,0,Birds,attack swimmers,1,0
