"workerid","rt","trial_type","stim_property","origins","stim_word","stim_kind","stim_proptype","stim_name","stim_prevalence","event_outcome","response"
52,398.774,"predictive_likelihood_bornToday","green","intrinsic","generic","fish","color","morseths",1,"lost",0.03
52,23.351,"predictive_likelihood_bornToday","yellow","extrinsic","generic","fish","color","elleps",0,"lost",0.01
52,21.071,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","frams",0,"maintained",0.17
52,131.769,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","trufts",1,"maintained",0.79
53,70.868,"predictive_likelihood_bornToday","blue","extrinsic","generic","bird","color","krivels",1,"maintained",0.03
53,29.508,"predictive_likelihood_bornToday","whiskers","extrinsic","generic","fish","part","frams",1,"lost",0.01
53,26.349,"predictive_likelihood_bornToday","red","intrinsic","generic","bird","color","luzaks",0,"maintained",0.98
53,31.382,"predictive_likelihood_bornToday","fangs","intrinsic","generic","fish","part","elleps",0,"lost",0.97
54,55.91,"predictive_likelihood_bornToday","purple","extrinsic","generic","bird","color","kweps",1,"maintained",0.01
54,49.032,"predictive_likelihood_bornToday","wings","extrinsic","generic","bug","part","ackles",0,"lost",0.02
54,38.867,"predictive_likelihood_bornToday","red","intrinsic","generic","bug","color","feps",1,"lost",0.99
54,29.571,"predictive_likelihood_bornToday","whiskers","intrinsic","generic","fish","part","blins",0,"maintained",0.98
55,27.191,"predictive_likelihood_bornToday","purple","intrinsic","generic","bird","color","feps",1,"maintained",1
55,23.135,"predictive_likelihood_bornToday","black","extrinsic","generic","bird","color","reesles",0,"maintained",0.29
55,33.571,"predictive_likelihood_bornToday","fangs","intrinsic","generic","fish","part","dobles",1,"lost",0.49
55,31.058,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","taifels",0,"lost",0.08
56,33.293,"predictive_likelihood_bornToday","green","extrinsic","generic","bird","color","zoovs",1,"maintained",0.59
56,18.383,"predictive_likelihood_bornToday","wings","extrinsic","generic","bug","part","plovs",0,"lost",0.17
56,15.939,"predictive_likelihood_bornToday","red","intrinsic","generic","fish","color","taifels",0,"maintained",0.98
56,16.363,"predictive_likelihood_bornToday","crests","intrinsic","generic","bird","part","trufts",1,"lost",0.96
57,35.084,"predictive_likelihood_bornToday","brown","intrinsic","generic","fish","color","feps",1,"maintained",0.99
57,33.897,"predictive_likelihood_bornToday","yellow","extrinsic","generic","bird","color","ackles",0,"lost",0.05
57,32.211,"predictive_likelihood_bornToday","crests","extrinsic","generic","bird","part","zorbs",1,"maintained",0.06
57,26.875,"predictive_likelihood_bornToday","antennae","intrinsic","generic","bug","part","lorches",0,"lost",1
58,32.052,"predictive_likelihood_bornToday","crests","intrinsic","generic","bird","part","daiths",0,"maintained",1
58,28.273,"predictive_likelihood_bornToday","yellow","intrinsic","generic","bug","color","blins",1,"lost",1
58,22.172,"predictive_likelihood_bornToday","green","extrinsic","generic","bug","color","moxes",0,"maintained",0
58,22.365,"predictive_likelihood_bornToday","whiskers","extrinsic","generic","fish","part","kweps",1,"lost",0
59,19.819,"predictive_likelihood_bornToday","red","intrinsic","generic","bug","color","stups",0,"maintained",0.86
59,10.528,"predictive_likelihood_bornToday","wings","extrinsic","generic","bug","part","lorches",0,"maintained",0.82
59,12.249,"predictive_likelihood_bornToday","green","extrinsic","generic","bird","color","sapers",1,"lost",0.07
59,9.726,"predictive_likelihood_bornToday","fangs","intrinsic","generic","fish","part","trufts",1,"lost",0.5
60,22.274,"predictive_likelihood_bornToday","black","intrinsic","generic","bird","color","daiths",1,"lost",0.07
60,15.538,"predictive_likelihood_bornToday","fangs","intrinsic","generic","fish","part","glippets",0,"maintained",0.97
60,17.331,"predictive_likelihood_bornToday","blue","extrinsic","generic","bird","color","ackles",1,"maintained",0.09
60,18.227,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","sapers",0,"lost",0.05
61,28.048,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","morseths",0,"maintained",0.81
61,21.613,"predictive_likelihood_bornToday","brown","extrinsic","generic","fish","color","glippets",0,"maintained",0.71
61,7.942,"predictive_likelihood_bornToday","orange","intrinsic","generic","fish","color","cheebas",1,"lost",0.69
61,20.389,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","javs",1,"lost",0.73
62,88.857,"predictive_likelihood_bornToday","purple","extrinsic","generic","bug","color","plovs",1,"maintained",0.82
62,30.344,"predictive_likelihood_bornToday","black","intrinsic","generic","fish","color","glippets",0,"maintained",1
62,31.491,"predictive_likelihood_bornToday","crests","intrinsic","generic","bird","part","frams",0,"lost",0.53
62,26.562,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","feps",1,"lost",0.03
63,38.508,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","feps",0,"maintained",1
63,26.928,"predictive_likelihood_bornToday","yellow","extrinsic","generic","bird","color","daiths",1,"maintained",0
63,15.016,"predictive_likelihood_bornToday","purple","intrinsic","generic","fish","color","plovs",0,"lost",0.63
63,36.883,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","dobles",1,"lost",0.58
64,33.734,"predictive_likelihood_bornToday","antennae","intrinsic","generic","bug","part","crullets",1,"lost",0.03
64,26.907,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","trufts",0,"maintained",0.73
64,17.384,"predictive_likelihood_bornToday","blue","extrinsic","generic","bird","color","elleps",1,"lost",0.32
64,15.908,"predictive_likelihood_bornToday","brown","intrinsic","generic","fish","color","daiths",0,"maintained",1
65,47.607,"predictive_likelihood_bornToday","whiskers","extrinsic","generic","fish","part","reesles",0,"maintained",0.09
65,22.984,"predictive_likelihood_bornToday","purple","extrinsic","generic","bug","color","feps",1,"lost",0.04
65,20.934,"predictive_likelihood_bornToday","orange","intrinsic","generic","bird","color","frams",0,"lost",0.99
